Index	Tanggal	Kategori	Tema	Pertanyaan	Jawaban	Dasar Hukum	Editor
180011	18 Agustus 2022	Tanya-SC	PPN	tagihan atas listrik sewa bangunan di pungut PPN	pastikan lagi, apabila memang di kontraknya termasuk pembayaran tersebut maka jelaskan konsep nilai Penggantian, yaitu nilai berupa uang, termasuk semua biaya yang diminta atau seharusnya diminta oleh pengusaha karena penyerahan JKP, ekspor JKP, atau ekspor BKP Tidak Berwujud, tetapi tidak termasuk PPN yang dipungut menurut UU ini dan potongan harga yang dicantumkan dalam Faktur Pajak atau nilai berupa uang yang dibayar atau seharusnya dibayar oleh Penerima Jasa karena pemanfaatan JKP dan/atau oleh penerima manfaat BKP Tidak Berwujud karena pemanfaatan BKP Tidak Berwujud dari luar Daerah Pabean di dalam Daerah Pabean. Pasal 1 angka 19 UU Nomor 42 TAHUN 2009	pastikan lagi, apabila memang di kontraknya termasuk pembayaran tersebut maka jelaskan konsep nilai Penggantian, yaitu nilai berupa uang, termasuk semua biaya yang diminta atau seharusnya diminta oleh pengusaha karena penyerahan JKP, ekspor JKP, atau ekspor BKP Tidak Berwujud, tetapi tidak termasuk PPN yang dipungut menurut UU ini dan potongan harga yang dicantumkan dalam Faktur Pajak atau nilai berupa uang yang dibayar atau seharusnya dibayar oleh Penerima Jasa karena pemanfaatan JKP dan/atau oleh penerima manfaat BKP Tidak Berwujud karena pemanfaatan BKP Tidak Berwujud dari luar Daerah Pabean di dalam Daerah Pabean. Pasal 1 angka 19 UU Nomor 42 TAHUN 2009	RIZKI SAFARI
180012	18 Agustus 2022	Tanya-SC	PPN	nilai lelang sebagai dpp apakah ada perubahan aturan	belum ada masih sesuai resume http://tkb-djp/tkb/engine/learning3/view.php?id=1118	belum ada masih sesuai resume http://tkb-djp/tkb/engine/learning3/view.php?id=1118	RIZKI SAFARI
180013	18 Agustus 2022	Tanya-SC	DJP Online	Unifikasi kalau kelebihan setor bisa lapor gak?	Seharusnya bisa.	Seharusnya bisa.	NIKEN PRATIWI
180014	18 Agustus 2022	Tanya-SC	PPN	bertransaksi dengan wp yang terdaftar di KPP BKM, barang dikirimkan ke alamat cabang. kondisi semua di TLDDP. alamat bagaimana?	saat ini masih tulis alamat cabang PER 1 September 2022 nanti, baru pakai pusat semua karena PER 11/2022 berlaku mulai 1 September 2022	saat ini masih tulis alamat cabang PER 1 September 2022 nanti, baru pakai pusat semua karena PER 11/2022 berlaku mulai 1 September 2022	ELFAN FAUZI AKBAR
180015	18 Agustus 2022	Tanya-SC	Lainnya	nilai aset sudah 0 di lapkeu krn penyusutan sudah full bagaimana	tidak diatur di lapkeunya, asalkan sudah sesuai dengan kaidah akuntansi yg berlaku tidak masalah	tidak diatur di lapkeunya, asalkan sudah sesuai dengan kaidah akuntansi yg berlaku tidak masalah	LUQMAN RAMADHAN
180016	18 Agustus 2022	Tanya-SC	DJP Online	pemutakhiran data di djponline, error gagal validasi data kelayurga	coba pake private window	coba pake private window	FERY DWI FEBRIANTO
180017	25 Agustus 2022	Tanya-SC	PPh	PT saya sudah UMKM 0,5% Pak. Sejak tahun lalu. Jasa Konsultan. Kebetulan saya sedang mengenalkan salah 1 klien saya ke calon investor. Seandainya jadi, mgkn saya dapat komisi. Hanya saja kalau benar klien saya terjual/invest nantinya, omset bisa lebih dari 4,8m. 1. Komisi penjualan/invest ini berarti pendapatan lain2 kan ya? 2. Kalau pendapatan lain2 brarti tidak mempengaruhi pajak umkm saya meskipun sudah lebih dari 4,8m kan ya	pengertian ph bruto ada di pp 23, kuncinya apakah penghasilan itu termasuk penghasilan atas usahanya atau tidak. kalau bukan, brrti gamasuk ke peredaran bruto yg pp 23. nah, dia kan dapat komisi sbg perantara kan ya --> kalau ini memang masuk ke usaha dia sebagai jasa konsultan brrti bisa aja masuk. penentuan masuk ke usaha atau enggak dia sendiri yg lebih tau. kalau wp ragu menentukan bisa minta pendapat AR	pengertian ph bruto ada di pp 23, kuncinya apakah penghasilan itu termasuk penghasilan atas usahanya atau tidak. kalau bukan, brrti gamasuk ke peredaran bruto yg pp 23. nah, dia kan dapat komisi sbg perantara kan ya --> kalau ini memang masuk ke usaha dia sebagai jasa konsultan brrti bisa aja masuk. penentuan masuk ke usaha atau enggak dia sendiri yg lebih tau. kalau wp ragu menentukan bisa minta pendapat AR	FIDHIA RETNO SAFITRI
180018	18 Agustus 2022	Tanya-SC	PPN	kalo wp jual barang ke wpln, tapi dikirimnya ke orang di indo, itu FP nya gimana ?	kalo kontraknya hanya dengan wpln, nanti fp nya tetep 01 tapi lawan transaksi spln. jadi gak pake npwp	kalo kontraknya hanya dengan wpln, nanti fp nya tetep 01 tapi lawan transaksi spln. jadi gak pake npwp	ALVI FARIZAL
180019	18 Agustus 2022	Tanya-SC	E-Faktur	alamat di fp ditulis alamat tempat proyek boleh tidak?	jika bukan termasuk tempat pkp dipusatkan, tetap menggunakan alamat sesuai npwp	jika bukan termasuk tempat pkp dipusatkan, tetap menggunakan alamat sesuai npwp	LUQMAN RAMADHAN
180020	18 Agustus 2022	Tanya-SC	DJP Online	Kalau udah rekam semua bukti pembayaran tapi di ringkasan pembayaran masih ada selisih gimana?	Coba ke penyiapan SPT>Lengkapi SPT>Simpan sampai selisihnya 0.	Coba ke penyiapan SPT>Lengkapi SPT>Simpan sampai selisihnya 0.	NIKEN PRATIWI
180021	18 Agustus 2022	Tanya-SC	PPN	pemusatan per 11/2022, wp terdaftar di kpp migas dan kalau kirim barang ke alamat cabang, itu pake npwp pusat, alamat cabang ?	pastikan kembali cabangnya ini apakah sesuai pasal 6 ayat 7a per 11/2022 atau tidak. Jika memenuhi maka pake npwp pusat alamat cabang, jika tidak memenuhi maka pake npwp dan alamat pusat	pastikan kembali cabangnya ini apakah sesuai pasal 6 ayat 7a per 11/2022 atau tidak. Jika memenuhi maka pake npwp pusat alamat cabang, jika tidak memenuhi maka pake npwp dan alamat pusat	RIZKIANTO
180022	25 Februari 2022	Tanya-SC	E-Faktur	untuk Web E-Faktur apakah sedang down ya? Soalnya saya coba download prepopulated untuk FPM tapi tidak bisa2 ?	belum ada laporan error. coba berkala sambil c3l dll dulu ya	belum ada laporan error. coba berkala sambil c3l dll dulu ya	FIDHIA RETNO SAFITRI
180023	18 Agustus 2022	Tanya-SC	PPh	PPh Pasal 26 atas Penjualan Saham yang Dilakukan oleh WPLN	KMK-434/KMK.04/1999	KMK-434/KMK.04/1999	FADHIL MAULANA MARUF SW
180024	25 Februari 2022	Tanya-SC	PPh	Apakah jika perusahaan membeli mobil secara leasing menurut pajak tetap di susutkan?	WP off saat sedang digali apakah leasingnya dengan hak opsi atau tidak	WP off saat sedang digali apakah leasingnya dengan hak opsi atau tidak	FIDHIA RETNO SAFITRI
180025	18 Agustus 2022	Tanya-SC	DJP Online	WP dapet surat pemeberitahuan insenstif pph pasal 25 tanggal 4 agustus, mau lapor realisasi bulan juli ga bisa, kenapa ya?	ini brarti wpnya sudah ajukan pemberitahuan pemanfaatan pph pasal 25 per tgl 4 agustus ya? Dan ingin melaporkan realisasi juli 2022. Jika memang seperti itu, memang tadi ada sedikit kendala pada saat wp melaporkan laporan realisasi dan muncul pemberitahuan tsb. Saat ini kabarnya sudah di perbaiki, wp bias di sarankan mencoba lapor kembali	ini brarti wpnya sudah ajukan pemberitahuan pemanfaatan pph pasal 25 per tgl 4 agustus ya? Dan ingin melaporkan realisasi juli 2022. Jika memang seperti itu, memang tadi ada sedikit kendala pada saat wp melaporkan laporan realisasi dan muncul pemberitahuan tsb. Saat ini kabarnya sudah di perbaiki, wp bias di sarankan mencoba lapor kembali	RAKADISTI ANANDA DWIRACHMAN
