Index	Tanggal	Kategori	Tema	Pertanyaan	Jawaban	Dasar Hukum	Editor
180011	18 Agustus 2022	Tanya-SC	PPN	tagihan atas listrik sewa bangunan di pungut PPN	pastikan lagi, apabila memang di kontraknya termasuk pembayaran tersebut maka jelaskan konsep nilai Penggantian, yaitu nilai berupa uang, termasuk semua biaya yang diminta atau seharusnya diminta oleh pengusaha karena penyerahan JKP, ekspor JKP, atau ekspor BKP Tidak Berwujud, tetapi tidak termasuk PPN yang dipungut menurut UU ini dan potongan harga yang dicantumkan dalam Faktur Pajak atau nilai berupa uang yang dibayar atau seharusnya dibayar oleh Penerima Jasa karena pemanfaatan JKP dan/atau oleh penerima manfaat BKP Tidak Berwujud karena pemanfaatan BKP Tidak Berwujud dari luar Daerah Pabean di dalam Daerah Pabean. Pasal 1 angka 19 UU Nomor 42 TAHUN 2009	pastikan lagi, apabila memang di kontraknya termasuk pembayaran tersebut maka jelaskan konsep nilai Penggantian, yaitu nilai berupa uang, termasuk semua biaya yang diminta atau seharusnya diminta oleh pengusaha karena penyerahan JKP, ekspor JKP, atau ekspor BKP Tidak Berwujud, tetapi tidak termasuk PPN yang dipungut menurut UU ini dan potongan harga yang dicantumkan dalam Faktur Pajak atau nilai berupa uang yang dibayar atau seharusnya dibayar oleh Penerima Jasa karena pemanfaatan JKP dan/atau oleh penerima manfaat BKP Tidak Berwujud karena pemanfaatan BKP Tidak Berwujud dari luar Daerah Pabean di dalam Daerah Pabean. Pasal 1 angka 19 UU Nomor 42 TAHUN 2009	RIZKI SAFARI
180012	18 Agustus 2022	Tanya-SC	PPN	nilai lelang sebagai dpp apakah ada perubahan aturan	belum ada masih sesuai resume http://tkb-djp/tkb/engine/learning3/view.php?id=1118	belum ada masih sesuai resume http://tkb-djp/tkb/engine/learning3/view.php?id=1118	RIZKI SAFARI
180013	18 Agustus 2022	Tanya-SC	DJP Online	Unifikasi kalau kelebihan setor bisa lapor gak?	Seharusnya bisa.	Seharusnya bisa.	NIKEN PRATIWI
180014	18 Agustus 2022	Tanya-SC	PPN	bertransaksi dengan wp yang terdaftar di KPP BKM, barang dikirimkan ke alamat cabang. kondisi semua di TLDDP. alamat bagaimana?	saat ini masih tulis alamat cabang PER 1 September 2022 nanti, baru pakai pusat semua karena PER 11/2022 berlaku mulai 1 September 2022	saat ini masih tulis alamat cabang PER 1 September 2022 nanti, baru pakai pusat semua karena PER 11/2022 berlaku mulai 1 September 2022	ELFAN FAUZI AKBAR
180015	18 Agustus 2022	Tanya-SC	Lainnya	nilai aset sudah 0 di lapkeu krn penyusutan sudah full bagaimana	tidak diatur di lapkeunya, asalkan sudah sesuai dengan kaidah akuntansi yg berlaku tidak masalah	tidak diatur di lapkeunya, asalkan sudah sesuai dengan kaidah akuntansi yg berlaku tidak masalah	LUQMAN RAMADHAN
180016	18 Agustus 2022	Tanya-SC	DJP Online	pemutakhiran data di djponline, error gagal validasi data kelayurga	coba pake private window	coba pake private window	FERY DWI FEBRIANTO
180017	25 Agustus 2022	Tanya-SC	PPh	PT saya sudah UMKM 0,5% Pak. Sejak tahun lalu. Jasa Konsultan. Kebetulan saya sedang mengenalkan salah 1 klien saya ke calon investor. Seandainya jadi, mgkn saya dapat komisi. Hanya saja kalau benar klien saya terjual/invest nantinya, omset bisa lebih dari 4,8m. 1. Komisi penjualan/invest ini berarti pendapatan lain2 kan ya? 2. Kalau pendapatan lain2 brarti tidak mempengaruhi pajak umkm saya meskipun sudah lebih dari 4,8m kan ya	pengertian ph bruto ada di pp 23, kuncinya apakah penghasilan itu termasuk penghasilan atas usahanya atau tidak. kalau bukan, brrti gamasuk ke peredaran bruto yg pp 23. nah, dia kan dapat komisi sbg perantara kan ya --> kalau ini memang masuk ke usaha dia sebagai jasa konsultan brrti bisa aja masuk. penentuan masuk ke usaha atau enggak dia sendiri yg lebih tau. kalau wp ragu menentukan bisa minta pendapat AR	pengertian ph bruto ada di pp 23, kuncinya apakah penghasilan itu termasuk penghasilan atas usahanya atau tidak. kalau bukan, brrti gamasuk ke peredaran bruto yg pp 23. nah, dia kan dapat komisi sbg perantara kan ya --> kalau ini memang masuk ke usaha dia sebagai jasa konsultan brrti bisa aja masuk. penentuan masuk ke usaha atau enggak dia sendiri yg lebih tau. kalau wp ragu menentukan bisa minta pendapat AR	FIDHIA RETNO SAFITRI
180018	18 Agustus 2022	Tanya-SC	PPN	kalo wp jual barang ke wpln, tapi dikirimnya ke orang di indo, itu FP nya gimana ?	kalo kontraknya hanya dengan wpln, nanti fp nya tetep 01 tapi lawan transaksi spln. jadi gak pake npwp	kalo kontraknya hanya dengan wpln, nanti fp nya tetep 01 tapi lawan transaksi spln. jadi gak pake npwp	ALVI FARIZAL
180019	18 Agustus 2022	Tanya-SC	E-Faktur	alamat di fp ditulis alamat tempat proyek boleh tidak?	jika bukan termasuk tempat pkp dipusatkan, tetap menggunakan alamat sesuai npwp	jika bukan termasuk tempat pkp dipusatkan, tetap menggunakan alamat sesuai npwp	LUQMAN RAMADHAN
180020	18 Agustus 2022	Tanya-SC	DJP Online	Kalau udah rekam semua bukti pembayaran tapi di ringkasan pembayaran masih ada selisih gimana?	Coba ke penyiapan SPT>Lengkapi SPT>Simpan sampai selisihnya 0.	Coba ke penyiapan SPT>Lengkapi SPT>Simpan sampai selisihnya 0.	NIKEN PRATIWI
180021	18 Agustus 2022	Tanya-SC	PPN	pemusatan per 11/2022, wp terdaftar di kpp migas dan kalau kirim barang ke alamat cabang, itu pake npwp pusat, alamat cabang ?	pastikan kembali cabangnya ini apakah sesuai pasal 6 ayat 7a per 11/2022 atau tidak. Jika memenuhi maka pake npwp pusat alamat cabang, jika tidak memenuhi maka pake npwp dan alamat pusat	pastikan kembali cabangnya ini apakah sesuai pasal 6 ayat 7a per 11/2022 atau tidak. Jika memenuhi maka pake npwp pusat alamat cabang, jika tidak memenuhi maka pake npwp dan alamat pusat	RIZKIANTO
180022	25 Februari 2022	Tanya-SC	E-Faktur	untuk Web E-Faktur apakah sedang down ya? Soalnya saya coba download prepopulated untuk FPM tapi tidak bisa2 ?	belum ada laporan error. coba berkala sambil c3l dll dulu ya	belum ada laporan error. coba berkala sambil c3l dll dulu ya	FIDHIA RETNO SAFITRI
180023	18 Agustus 2022	Tanya-SC	PPh	PPh Pasal 26 atas Penjualan Saham yang Dilakukan oleh WPLN	KMK-434/KMK.04/1999	KMK-434/KMK.04/1999	FADHIL MAULANA MARUF SW
180024	25 Februari 2022	Tanya-SC	PPh	Apakah jika perusahaan membeli mobil secara leasing menurut pajak tetap di susutkan?	WP off saat sedang digali apakah leasingnya dengan hak opsi atau tidak	WP off saat sedang digali apakah leasingnya dengan hak opsi atau tidak	FIDHIA RETNO SAFITRI
180025	18 Agustus 2022	Tanya-SC	DJP Online	WP dapet surat pemeberitahuan insenstif pph pasal 25 tanggal 4 agustus, mau lapor realisasi bulan juli ga bisa, kenapa ya?	ini brarti wpnya sudah ajukan pemberitahuan pemanfaatan pph pasal 25 per tgl 4 agustus ya? Dan ingin melaporkan realisasi juli 2022. Jika memang seperti itu, memang tadi ada sedikit kendala pada saat wp melaporkan laporan realisasi dan muncul pemberitahuan tsb. Saat ini kabarnya sudah di perbaiki, wp bias di sarankan mencoba lapor kembali	ini brarti wpnya sudah ajukan pemberitahuan pemanfaatan pph pasal 25 per tgl 4 agustus ya? Dan ingin melaporkan realisasi juli 2022. Jika memang seperti itu, memang tadi ada sedikit kendala pada saat wp melaporkan laporan realisasi dan muncul pemberitahuan tsb. Saat ini kabarnya sudah di perbaiki, wp bias di sarankan mencoba lapor kembali	RAKADISTI ANANDA DWIRACHMAN
180026	18 Agustus 2022	Tanya-SC	PPh	B menggunakan jasa konsutasi A, namun A bekerjasama dengan C untuk melakukan jasa tersebut, bukti potong sudah terbit full atas nama A, nah si C protes kok tidak mendapat bukti potong?	Dilihat lagi transaksinya antara siapa dan siapa, gampangnya lihat kontrak karena nanti masalah pembuktian aja, jika memang transaksi dengan A dan C maka seharusnya bupotnya dibuat atas masing-masing lawan transaksi	Dilihat lagi transaksinya antara siapa dan siapa, gampangnya lihat kontrak karena nanti masalah pembuktian aja, jika memang transaksi dengan A dan C maka seharusnya bupotnya dibuat atas masing-masing lawan transaksi	ANNAS KURNIA RAMADHAN
180027	18 Agustus 2022	Tanya-SC	E-Faktur	input PBK di efaktur agar muncul LB karena nilai PBK lebih besar dari KB	input di II.B	input di II.B	LUQMAN RAMADHAN
180028	25 Februari 2022	Tanya-SC	E-Faktur	> Agil Primarinza: #42Q mau tanya mengenai ppn masukan di aplikasi efaktur. angkanya berbeda saat mau dilapor dan dengan rinciannya. sedangkan pada saat di menu administrasi pajak masukan dipindahkan ke excell dan dikurangi dengan pajak yg tidak dikreditkan, hasilnya berbeda. saya tarik di efaktur, administrasi pajak masukan, copy dan paste di excell, lalu saya buang ppn yang tidak di kreditkan dan dijumlahkan. karena saya mau membuat pembetulan spt ppn, tetapi seharusnya tdk ada perubahan di ppn masukan. nilai di excell sudah sama dengan spt ppn normalnya	coba bandingkan dulu nilai fp masukan normal dan pembetulan (yang menurut wp tidak sesuai nilainya). bedanya ada dimana. biasanya wp lupa ada kompen dari masa sebelumnya (1111AB bagian III) di spt normal, tp di pembetulan gak diinput. ini biasanya.. jadi coba wp pastikan bedanya ada. atau wp boleh coba posting juga di web efaktur, bandingkan yg normal dan pembetulan (bedanya apa). karena kalau memang pembetulan tidak mengubah nilai PM, harusnya nilai di spt normal dan pembetulan pada spt induk sama untuk pm	coba bandingkan dulu nilai fp masukan normal dan pembetulan (yang menurut wp tidak sesuai nilainya). bedanya ada dimana. biasanya wp lupa ada kompen dari masa sebelumnya (1111AB bagian III) di spt normal, tp di pembetulan gak diinput. ini biasanya.. jadi coba wp pastikan bedanya ada. atau wp boleh coba posting juga di web efaktur, bandingkan yg normal dan pembetulan (bedanya apa). karena kalau memang pembetulan tidak mengubah nilai PM, harusnya nilai di spt normal dan pembetulan pada spt induk sama untuk pm	FIDHIA RETNO SAFITRI
180029	18 Agustus 2022	Tanya-SC	PPh	ada suatu PT. X yg mau melakukan overhaul dipabrik lotte dengan mendatangkan teknisi dari Italy (tempat mereka beli mesin nya) karena hanya teknisi sana yang bisa melakukan pekerjaannya.lalu PT. Sentosa sebagai pihak ketiga, dimana penawaran dari italy tanpa ppn di convert ke rupiah lalu ditawarkan oleh PT. Sentosa ke PT. X. teknisi italy Badan. PT. Sentosa ini agennya si perusahaan italy tersebut di indonesia. jadi PT. X lewat perantara PT. Sentosa mau pakai jasa teknisi dari itali. Aspek PPh dan PPN nya seperti apa ya?	oke, klo dri percakapan aku liatnya gini si pt sentosa memberikan jasa kepada pt X. nah terkait pemberian jasa disini bisa menjadi objek pph 23 jika masuk ke list pmk 141. kemudian untuk memberikan jasanya mereka perlu bantuan orang lain dari LN, kerja sama dia sama pihak LN. nah tagihan ini bisa jadi dpp pph pasal 23 pas dia tagih ke pt x. si pihak luar negeri kan kerja sama ama pt sentosa, brarti yang ngasih pembayaran ke si op LN si pt sentosa kan, nah ini jadi objek pph pasal 26	oke, klo dri percakapan aku liatnya gini si pt sentosa memberikan jasa kepada pt X. nah terkait pemberian jasa disini bisa menjadi objek pph 23 jika masuk ke list pmk 141. kemudian untuk memberikan jasanya mereka perlu bantuan orang lain dari LN, kerja sama dia sama pihak LN. nah tagihan ini bisa jadi dpp pph pasal 23 pas dia tagih ke pt x. si pihak luar negeri kan kerja sama ama pt sentosa, brarti yang ngasih pembayaran ke si op LN si pt sentosa kan, nah ini jadi objek pph pasal 26	RAKADISTI ANANDA DWIRACHMAN
180030	18 Agustus 2022	Tanya-SC	KUP	pt perorangan ada aturannya ga?	SE 20 2022	SE 20 2022	MUHAMMAD INDRA PRASETYO
180031	18 Agustus 2022	Tanya-SC	PPN	belum PKP, omset masih di bawah 4,8M ada 1 lagi trx dia jadi 4,8 M ini gimana? dia wajib mungut PPN sekarang?	engga, 4,8M itu hanya threshold. kalau lewat wajib PKP. mungut PPN nya wajib setelah dia jadi PKP sebelum itu, tidak wajib	engga, 4,8M itu hanya threshold. kalau lewat wajib PKP. mungut PPN nya wajib setelah dia jadi PKP sebelum itu, tidak wajib	MUHAMMAD INDRA PRASETYO
180032	18 Agustus 2022	Tanya-SC	KUP	pph 23 salah setoran unifikasi ini bisa Pbk	bisa dong	bisa dong	MUHAMMAD INDRA PRASETYO
180033	25 Februari 2022	Tanya-SC	PPN	pihak luar negeri A menjual pesawat ke pihak luar negeri B. Namun posisi barang saat ini berada di indonesia karena disewa oleh Perusahaan indonesia. Ketika penyerahan ke pembeli pihak B maka yang mengurus PEB dan catat di spt PPN tetap dari Perusahaan Indonesia atau seperti apa ya?	Karena barangnya di indo, harusnya memang akan ada ekspor barang keluar. Tp disini kan transaksi penjualan itu dilakukan oleh pihak a dan pihak b. Sedangkan kalau peb yg dipersamakan dgn faktur itu kan ngikut per 13/2019. untuk pengakuan PPN nya, baiknya dikonsultasikan ke AR dulu ya bima, karena disini posisinya barang bukan milik perusahaan Indo, dan invoice penjualan itu kan antar pihak LN, gak ada hubungannya dgn pihak di indo	Karena barangnya di indo, harusnya memang akan ada ekspor barang keluar. Tp disini kan transaksi penjualan itu dilakukan oleh pihak a dan pihak b. Sedangkan kalau peb yg dipersamakan dgn faktur itu kan ngikut per 13/2019. untuk pengakuan PPN nya, baiknya dikonsultasikan ke AR dulu ya bima, karena disini posisinya barang bukan milik perusahaan Indo, dan invoice penjualan itu kan antar pihak LN, gak ada hubungannya dgn pihak di indo	FIDHIA RETNO SAFITRI
180034	18 Agustus 2022	Tanya-SC	PPN	kalo ada pembatalan FP, untuk FP yang benar gimana?	FP yang benar tetap dibuat di masa dilakukan penerbitan FP, tidak boleh tanggal mundur. pembetulan spt masa PPN di masa FP yang dibatalkan.	FP yang benar tetap dibuat di masa dilakukan penerbitan FP, tidak boleh tanggal mundur. pembetulan spt masa PPN di masa FP yang dibatalkan.	FERY DWI FEBRIANTO
180035	18 Agustus 2022	Tanya-SC	PPN	Kalau WP setor modal dalam bentuk tanah dan atau bangunan dan dia bukan PKP berarti tidak dikenai PPN?	Dikenai PPN tapi karena dia bukan PKP maka tidak dipungut PPN.	Dikenai PPN tapi karena dia bukan PKP maka tidak dipungut PPN.	NIKEN PRATIWI
180036	25 Februari 2022	Tanya-SC	E-Faktur	saya ingin bertanya. Jika B1 (Impor) kami tidak ada di prepo, apakah bisa dikreditkan?	iya,, selama PIB nya memenuhi pengertian dokumen yang dipersamakan dgn faktur sesuai per 13/2019, silahkan bisa dikreditkan sesuai ketentuan perundang-undangan. jika di menu prepop tidak ada coba input key in ya. formatnya untuk PIB: no pendaftaran#ntpn	iya,, selama PIB nya memenuhi pengertian dokumen yang dipersamakan dgn faktur sesuai per 13/2019, silahkan bisa dikreditkan sesuai ketentuan perundang-undangan. jika di menu prepop tidak ada coba input key in ya. formatnya untuk PIB: no pendaftaran#ntpn	FIDHIA RETNO SAFITRI
180037	25 Februari 2022	Tanya-SC	PPh	Yang berhak memanfaatkan PPh 22 DTP apa saja ya min? jika kita menjual barang terkait covid ke RS swasta apakah tetap dapat memanfaatkan PPh 22 DTP? mas, mbak, ini kalau mau aku konfirmasi pakai PMK-226 2021 di PMK itu harus industri farmasi atau gimana ya?	bisa dijawab dgn memastikan lagi, apakah maksud WP fasilitas pembebasan pph 22 sesuai pmk 226/2021? jika iya, bisa dijelaskan bahwa salah satu fasilitas pembebasan dari pemungutan pph pasal 22 adalah atas penjualan barang yang diperlukan dalam rangka penanganan pandemi COVID-19 sebagaimana dimaksud pada ayat (4) oleh pihak ketiga kepada Pihak Tertentu. Pastikan apakah lawan transaksi (RS swasta masuk ke pengertian pihak tertentu atau tidak). lebih lengkap bisa diarahkan sesuai pasal 6 dan pasal 7.	bisa dijawab dgn memastikan lagi, apakah maksud WP fasilitas pembebasan pph 22 sesuai pmk 226/2021? jika iya, bisa dijelaskan bahwa salah satu fasilitas pembebasan dari pemungutan pph pasal 22 adalah atas penjualan barang yang diperlukan dalam rangka penanganan pandemi COVID-19 sebagaimana dimaksud pada ayat (4) oleh pihak ketiga kepada Pihak Tertentu. Pastikan apakah lawan transaksi (RS swasta masuk ke pengertian pihak tertentu atau tidak). lebih lengkap bisa diarahkan sesuai pasal 6 dan pasal 7.	FIDHIA RETNO SAFITRI
180038	25 Februari 2022	Tanya-SC	Lainnya	Mau tanya untuk e-form, apakah ada format impor untuk aset, bukti potong ?	e-form untuk formulir SPT Tahunan apa ya? bisa cek ke link ini ya, ada untuk badan/OP https://www.pajak.go.id/id/laman-e-form-pdf silahkan bisa didownload file format dan contoh csv dan petunjuk pengisiannya	e-form untuk formulir SPT Tahunan apa ya? bisa cek ke link ini ya, ada untuk badan/OP https://www.pajak.go.id/id/laman-e-form-pdf silahkan bisa didownload file format dan contoh csv dan petunjuk pengisiannya	FIDHIA RETNO SAFITRI
180039	18 Agustus 2022	Tanya-SC	E-Faktur	pm di dekstop dan web efaktur beda. lebih gede yg di web.	pastikan dulu mana yg bener. kemungkinan ada faktur yg hilang di dekstopnya	pastikan dulu mana yg bener. kemungkinan ada faktur yg hilang di dekstopnya	ALVI FARIZAL
180040	25 Februari 2022	Tanya-SC	Lainnya	Saya udah melakukan tahapan tersebut. Akunpun muncul, nah setelah saya masukan pasword tdk mau terbuka dgn tulisan akun tdk ditemukan. Saya juga coba login pada laman enofa login, sama juga kyk gitu min.	jika sudah memastikan password dan username yang diinpu benar namun masih terkendala seperti itu, bisa coba konfirmasi ke kpp terdaftar atas status PKP nya mas, apakah masih aktif atau tidak.	jika sudah memastikan password dan username yang diinpu benar namun masih terkendala seperti itu, bisa coba konfirmasi ke kpp terdaftar atas status PKP nya mas, apakah masih aktif atau tidak.	FIDHIA RETNO SAFITRI
180041	18 Agustus 2022	Tanya-SC	E-Faktur	SPT Masa PPN terutang 20 juta ada pbk 100 juta masukkinnya gimana?	Bisa masukkin ke induk II b pembayaran di muka agar memunculkan LB	Bisa masukkin ke induk II b pembayaran di muka agar memunculkan LB	ANNAS KURNIA RAMADHAN
180042	18 Agustus 2022	Tanya-SC	PPN	potongan harga kena ppn?	Harga Jual, yaitu nilai berupa uang, termasuk semua biaya yang diminta atau seharusnya diminta oleh penjual karena penyerahan BKP, tidak termasuk PPN yang dipungut menurut UU ini dan potongan harga yang dicantumkan dalam Faktur Pajak. Pasal 1 angka 18 UU Nomor 42 TAHUN 2009	Harga Jual, yaitu nilai berupa uang, termasuk semua biaya yang diminta atau seharusnya diminta oleh penjual karena penyerahan BKP, tidak termasuk PPN yang dipungut menurut UU ini dan potongan harga yang dicantumkan dalam Faktur Pajak. Pasal 1 angka 18 UU Nomor 42 TAHUN 2009	RIZKI SAFARI
180043	18 Agustus 2022	Tanya-SC	KUP	mhn info, perusahaan sy thn 2019 ada SPT PPN yg LB & dikompensasikan selama 4bln. Namun stlh dpt sp2dk ada FP masukan yg tdk dpt dikreditkan. Atas hal tsb SPT PPN hrs pembetulan shg mnjd KB 4bln. Apa ada denda atas KB SPT PPN tsb?	"sepanjang pembetulannya jadi KB, kena sanksi Pasal 8 ayat 2a UU KUP sttd UU Cika: ""Dalam hal Wajib Pajak membetulkan sendiri Surat Pemberitahuan Masa yang mengakibatkan utang pajak menjadi lebih besar, kepadanya dikenai sanksi administrasi berupa bunga sebesar tarif bunga perbulan yang ditetapkan oleh Menteri Keuangan atas jumlah pajak yang kurang dibayar, dihitung sejak jatuh tempo pembayaran sampai dengan tanggal pembayaran, dan dikenakan paling lama 24 (dua puluh empat) bulan, serta bagian dari bulan dihitung penuh 1 (satu) bulan""."	"sepanjang pembetulannya jadi KB, kena sanksi Pasal 8 ayat 2a UU KUP sttd UU Cika: ""Dalam hal Wajib Pajak membetulkan sendiri Surat Pemberitahuan Masa yang mengakibatkan utang pajak menjadi lebih besar, kepadanya dikenai sanksi administrasi berupa bunga sebesar tarif bunga perbulan yang ditetapkan oleh Menteri Keuangan atas jumlah pajak yang kurang dibayar, dihitung sejak jatuh tempo pembayaran sampai dengan tanggal pembayaran, dan dikenakan paling lama 24 (dua puluh empat) bulan, serta bagian dari bulan dihitung penuh 1 (satu) bulan""."	SIGIT RAHARJO
180044	18 Agustus 2022	Tanya-SC	PPh	Pembetulan SPT Tahunan 2017, atas penyusutan aset komersial 4 tahun namun fiskal 8 tahun, pengisian di SPT gimana?	Di lampiran I A ada kolom untuk memasukkan perhitungan secara komersial dan fiskal, berarti komersial 0 dan fiskal masih ada berarti ada koreksi fiskal negatif	Di lampiran I A ada kolom untuk memasukkan perhitungan secara komersial dan fiskal, berarti komersial 0 dan fiskal masih ada berarti ada koreksi fiskal negatif	ANNAS KURNIA RAMADHAN
180045	18 Agustus 2022	Tanya-SC	KUP	prosedur pbk atas ebupot unifikasi masih sama seperti sebelum unifikasi ya? wp salah setor pph ps 23 dan udh lapor harusnya 4 ayat2	PPh yg disetor menjadi kurang disetor, jika sesuai ND-132/2020. PBK dapat dilakukan apabila terdapat kelebihan setor dan kelebihan tersebut sudah diberikan kepada pihak yg dipotong. Arahkan WP untuk melakukan permohonan pengembalian PMK-187/2015 dan menyetor kembali PPh terutang yg benarnya	PPh yg disetor menjadi kurang disetor, jika sesuai ND-132/2020. PBK dapat dilakukan apabila terdapat kelebihan setor dan kelebihan tersebut sudah diberikan kepada pihak yg dipotong. Arahkan WP untuk melakukan permohonan pengembalian PMK-187/2015 dan menyetor kembali PPh terutang yg benarnya	MUHAMAD ROIHAN
180046	18 Agustus 2022	Tanya-SC	PPN	perpanjangan pemusatan ppn	sejak per-11 2020 sudah tidak ada lagi perpanjangan pemusatan ppn	sejak per-11 2020 sudah tidak ada lagi perpanjangan pemusatan ppn	LUQMAN RAMADHAN
180047	18 Agustus 2022	Tanya-SC	KUP	pembetulan spt tahunan tahun pajak 2017, lewat apa?	lewat eform karena csv espt tahunan badan sudah ditutup	lewat eform karena csv espt tahunan badan sudah ditutup	ELFAN FAUZI AKBAR
180048	18 Agustus 2022	Tanya-SC	E-Faktur	tidak bisa akses efaktur web di laptop baru	pastikan sertel sudah diimpor ke browser, jangan bookmark web	pastikan sertel sudah diimpor ke browser, jangan bookmark web	LUQMAN RAMADHAN
180049	18 Agustus 2022	Tanya-SC	PPh	Kalau ada setoran modal dalam bentuk tanah bangunan apakah termasuk objek PPh final pengalihan?	Dijelaskan normatif jika masuk dalam pengertian pengalihan maka dikenai PPh final atas pengalihan. Tapi jika tidak ada pengalihan maka tidak dikenai PPh final.	Dijelaskan normatif jika masuk dalam pengertian pengalihan maka dikenai PPh final atas pengalihan. Tapi jika tidak ada pengalihan maka tidak dikenai PPh final.	NIKEN PRATIWI
